antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_product_id,consequent_product_id,co_occurrence_count,antecedent_product_name,antecedent_category,antecedent_image_url,antecedent_product_class,consequent_product_name,consequent_category,consequent_image_url,consequent_product_class,bundle_type,basket_source,bundle_score,bundle_reason,bundle_business_explanation
0.06137968495382944,0.0850624660510592,0.054535578489951116,0.8884955752212389,10.445212988392726,1.0,0.04931447112234129,8.205392169542085,0.9633952615464069,0.5933806146572105,0.8781289206734153,0.764809728862216,41,47,502,حذاء جري احترافي,الرياضه واللياقه,,Strong,اوزان حديد طقم 20 كيلو,الرياضه واللياقه,,Strong,Substitute,fpgrowth,88.52,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.06181423139598045,0.08723519826181424,0.05529603476371537,0.8945518453427065,10.254482859750452,1.0,0.04990365803248535,8.656052869817128,0.9619434705181671,0.5898030127462339,0.884473903401525,0.7642124108407181,9,2,509,راوتر واي فاي 6,الالكترونيات,,Strong,لابتوب الترا سليم,الالكترونيات,,Strong,Substitute,fpgrowth,87.9,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.05975013579576317,0.08538837588267247,0.052906029331884846,0.8854545454545455,10.36973166782327,1.0,0.0478040622775155,7.9847046549925444,0.9609844400395257,0.5736160188457008,0.8747605524301094,0.7525237103863058,29,25,487,مجموعه سكاكين مطبخ,المنزل والمطبخ,,Strong,ماكينه قهوه اسبريسو,المنزل والمطبخ,,Strong,Substitute,fpgrowth,87.75,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.0621401412275937,0.08538837588267247,0.05464421510048886,0.8793706293706294,10.298481734550437,1.0,0.049338169363944744,7.581997811523354,0.962721988467665,0.5883040935672514,0.8681086403796939,0.7596598693926938,26,25,503,طقم اواني طهي غرانيت,المنزل والمطبخ,,Strong,ماكينه قهوه اسبريسو,المنزل والمطبخ,,Strong,Substitute,fpgrowth,87.59,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.06398696360673548,0.08777838131450298,0.05670831070070614,0.8862478777589133,10.09642538956782,1.0,0.05109163861007689,8.019381095608319,0.9625454024767252,0.5965714285714286,0.8753020977457184,0.7661437408596548,10,1,522,شاحن لاسلكي سريع,الالكترونيات,,Strong,هاتف ذكي برو ماكس,الالكترونيات,,Strong,Substitute,fpgrowth,87.18,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.06018468223791418,0.08538837588267247,0.05258011950027159,0.8736462093862816,10.231441930535269,1.0,0.047441047230961375,7.23849771087142,0.9600418811755389,0.5654205607476636,0.8618497870769357,0.744711145405609,28,25,484,خلاط كهربايي متعدد الوظايف,المنزل والمطبخ,,Strong,ماكينه قهوه اسبريسو,المنزل والمطبخ,,Strong,Substitute,fpgrowth,86.7,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.06757197175448126,0.08995111352525802,0.05985877240630092,0.8858520900321543,9.848150348727028,1.0,0.05378059830388805,7.972540949116748,0.9635682995530143,0.6129032258064514,0.8745694746025999,0.7756555136151109,31,32,551,كريم مرطب SPF 50,الجمال والعنايه,,Strong,سيروم فيتامين سي,الجمال والعنايه,,Strong,Substitute,fpgrowth,86.55000000000001,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.06496469310157522,0.08777838131450298,0.05681694731124389,0.8745819397993312,9.963523212689163,1.0,0.05111445170819416,7.273447039652368,0.9621389588846821,0.592298980747452,0.8625136067467957,0.7609295837610517,4,1,523,ساعه ذكيه سبورت,الالكترونيات,,Strong,هاتف ذكي برو ماكس,الالكترونيات,,Strong,Substitute,fpgrowth,86.24000000000001,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.06431287343834872,0.09125475285171103,0.05736013036393264,0.8918918918918919,9.77364864864865,1.0,0.05149127499313276,8.405893536121672,0.9593848622061788,0.5840707964601769,0.8810358475630442,0.7602316602316602,50,46,528,عداد خطوات ذكي,الرياضه واللياقه,,Strong,حصيره يوغا مضاده للانزلاق,الرياضه واللياقه,,Strong,Substitute,fpgrowth,85.87,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
0.07017925040738729,0.08995111352525802,0.060727865290602936,0.8653250773993808,9.619948475194807,1.0,0.05441516357009053,6.75737449037567,0.9636796551182877,0.610928961748634,0.8520135296002507,0.7702229251731203,39,32,559,قناع وجه كولاجين,الجمال والعنايه,,Strong,سيروم فيتامين سي,الجمال والعنايه,,Strong,Substitute,fpgrowth,85.02,ارتباط قوي مُثبَت بالبيانات — يظهر المنتجان معاً بشكل متكرر.,اعرض كلاهما في صفحة المنتج كبدائل مقترحة لرفع قيمة السلة.
