source,target,weight,lift,confidence,edge_type
1,10,87.11,10.074625740293925,0.8882978723404256,Substitute
1,4,86.19,9.936178730141597,0.8760907504363002,Substitute
1,3,60.029999999999994,5.412497065670299,0.6481958762886598,Substitute
10,1,87.11,10.074625740293925,0.8882978723404256,Substitute
10,4,74.76,9.613311177948585,0.625886524822695,Substitute
10,3,56.75,5.226211864292731,0.625886524822695,Substitute
103,56,16.66,1.6584798994974874,0.1125,Complement
110,51,19.63,1.8714289288037222,0.18478260869565216,Complement
121,9,19.950000000000003,2.3441550754661145,0.14516129032258066,Complement
121,2,18.73,1.8483282930107527,0.16129032258064518,Complement
123,32,17.630000000000003,1.6466472085017214,0.14705882352941177,Complement
134,51,17.599999999999998,1.5690853984667499,0.15492957746478875,Complement
137,21,33.86,6.60075,0.12000000000000001,Complement
138,50,24.759999999999998,1.8069395017793597,0.11538461538461539,Substitute
138,46,24.65,1.5514583333333332,0.14102564102564102,Substitute
145,6,16.31,1.5876902387824718,0.10679611650485438,Complement
163,46,18.05,1.7070905172413795,0.15517241379310348,Complement
164,17,38.47,5.82286779742572,0.10784313725490197,Substitute
166,50,16.91,1.7400158165282722,0.11111111111111112,Complement
168,96,33.98,6.607357357357356,0.11111111111111109,Complement
17,164,38.47,5.82286779742572,0.10784313725490197,Substitute
174,51,17.47,1.5472925457102673,0.1527777777777778,Complement
178,24,48.28,8.547979797979798,0.1282051282051282,Substitute
180,45,32.31,6.208818342151677,0.10370370370370371,Complement
183,21,30.11,5.574957770270269,0.10135135135135134,Complement
189,21,30.259999999999998,5.621076642335766,0.10218978102189781,Complement
19,56,16.18,1.5592546063651591,0.10576923076923077,Complement
196,77,40.67,6.482975937141922,0.10975609756097561,Substitute
2,9,87.67,10.240077886085626,0.8935779816513761,Substitute
2,6,84.32,9.698103621199323,0.8462837837837838,Substitute
2,3,61.24000000000001,5.5558573984029085,0.6653645833333333,Substitute
2,98,18.91,1.878628756830601,0.1639344262295082,Complement
2,121,18.73,1.8483282930107527,0.16129032258064518,Complement
