event_id,user_id,product_id,event_type,event_time,session_id,user_session
1,1,106,view,2024-04-17 00:19:20,SES00014436,SES00014436
2,1,80,view,2024-04-17 00:42:02,SES00014436,SES00014436
3,1,165,view,2024-04-17 00:57:06,SES00014436,SES00014436
4,1,80,cart,2024-04-17 01:26:44,SES00014436,SES00014436
5,2,34,view,2024-09-19 20:48:35,SES00025115,SES00025115
6,2,197,view,2024-09-19 21:10:16,SES00025115,SES00025115
7,2,1,view,2024-09-19 21:18:14,SES00025115,SES00025115
8,2,107,view,2023-04-11 16:17:39,SES00022474,SES00022474
9,2,176,view,2023-04-11 16:24:56,SES00022474,SES00022474
10,2,37,view,2023-04-11 16:42:06,SES00022474,SES00022474
11,2,176,cart,2023-04-11 16:55:38,SES00022474,SES00022474
12,3,47,view,2023-09-17 13:47:17,SES00032862,SES00032862
13,3,113,view,2023-09-17 14:11:00,SES00032862,SES00032862
14,3,163,view,2023-09-17 14:26:54,SES00032862,SES00032862
15,3,33,view,2023-09-17 14:39:09,SES00032862,SES00032862
16,3,134,view,2023-09-17 14:54:52,SES00032862,SES00032862
17,3,47,cart,2023-09-17 15:23:02,SES00032862,SES00032862
18,3,163,cart,2023-09-17 15:39:09,SES00032862,SES00032862
19,3,134,cart,2023-09-17 15:40:17,SES00032862,SES00032862
20,3,68,view,2024-05-06 14:26:53,SES00039988,SES00039988
21,3,117,view,2024-05-06 14:54:22,SES00039988,SES00039988
22,3,23,view,2024-05-06 14:57:31,SES00039988,SES00039988
23,3,197,view,2024-05-06 15:00:49,SES00039988,SES00039988
24,3,45,view,2024-05-06 15:25:18,SES00039988,SES00039988
25,3,2,view,2024-05-06 15:53:02,SES00039988,SES00039988
26,3,91,view,2024-05-06 16:17:07,SES00039988,SES00039988
27,3,176,view,2024-05-06 16:20:22,SES00039988,SES00039988
28,3,51,view,2024-05-06 16:36:52,SES00039988,SES00039988
29,3,194,view,2024-05-06 16:41:52,SES00039988,SES00039988
30,3,194,cart,2024-05-06 17:05:22,SES00039988,SES00039988
31,3,197,view,2024-03-04 14:39:32,SES00033366,SES00033366
32,3,181,view,2024-03-04 15:00:06,SES00033366,SES00033366
33,3,53,view,2024-03-04 15:17:33,SES00033366,SES00033366
34,4,172,view,2024-08-02 21:56:35,SES00049882,SES00049882
35,4,197,view,2024-08-02 22:06:24,SES00049882,SES00049882
36,4,128,view,2024-08-02 22:12:58,SES00049882,SES00049882
37,4,152,view,2024-08-02 22:28:59,SES00049882,SES00049882
38,4,19,view,2024-08-02 22:58:40,SES00049882,SES00049882
39,4,168,view,2024-08-02 23:25:05,SES00049882,SES00049882
40,4,94,view,2024-08-02 23:41:42,SES00049882,SES00049882
41,4,172,cart,2024-08-03 00:00:39,SES00049882,SES00049882
42,4,128,cart,2024-08-03 00:02:16,SES00049882,SES00049882
43,4,168,cart,2024-08-03 00:12:59,SES00049882,SES00049882
44,4,91,view,2023-03-17 08:35:32,SES00047399,SES00047399
45,4,119,view,2023-03-17 09:03:38,SES00047399,SES00047399
46,4,178,view,2023-03-17 09:27:21,SES00047399,SES00047399
47,4,193,view,2023-03-17 09:45:40,SES00047399,SES00047399
48,4,150,view,2023-03-17 10:04:51,SES00047399,SES00047399
49,4,90,view,2023-03-17 10:15:16,SES00047399,SES00047399
50,4,37,view,2023-03-17 10:18:27,SES00047399,SES00047399
51,4,131,view,2023-03-17 10:44:53,SES00047399,SES00047399
52,4,148,view,2023-03-17 11:01:34,SES00047399,SES00047399
53,4,44,view,2023-03-17 11:06:43,SES00047399,SES00047399
54,4,37,cart,2023-03-17 11:23:59,SES00047399,SES00047399
