selected_product_id,plot_product_id,plot_product_name,is_selected_product,price,purchase_conversion_rate,rating,category,peer_group
1,1,هاتف ذكي برو ماكس,True,5429.43,41.22222222222222,3.7,الالكترونيات,selected
1,2,لابتوب الترا سليم,False,6856.93,32.083333333333336,4.9,الالكترونيات,peer
1,4,ساعه ذكيه سبورت,False,1045.02,33.875,4.6,الالكترونيات,peer
1,9,راوتر واي فاي 6,False,864.52,20.615384615384617,3.1,الالكترونيات,peer
1,3,سماعات لاسلكيه,False,182.88,45.27272727272727,3.7,الالكترونيات,peer
1,10,شاحن لاسلكي سريع,False,96.42,32.625,4.0,الالكترونيات,peer
2,2,لابتوب الترا سليم,True,6856.93,32.083333333333336,4.9,الالكترونيات,selected
2,1,هاتف ذكي برو ماكس,False,5429.43,41.22222222222222,3.7,الالكترونيات,peer
2,4,ساعه ذكيه سبورت,False,1045.02,33.875,4.6,الالكترونيات,peer
2,9,راوتر واي فاي 6,False,864.52,20.615384615384617,3.1,الالكترونيات,peer
2,10,شاحن لاسلكي سريع,False,96.42,32.625,4.0,الالكترونيات,peer
2,3,سماعات لاسلكيه,False,182.88,45.27272727272727,3.7,الالكترونيات,peer
3,3,سماعات لاسلكيه,True,182.88,45.27272727272727,3.7,الالكترونيات,selected
3,10,شاحن لاسلكي سريع,False,96.42,32.625,4.0,الالكترونيات,peer
3,4,ساعه ذكيه سبورت,False,1045.02,33.875,4.6,الالكترونيات,peer
3,9,راوتر واي فاي 6,False,864.52,20.615384615384617,3.1,الالكترونيات,peer
3,41,حذاء جري احترافي,False,708.68,42.66666666666666,4.8,الرياضه واللياقه,peer
3,42,لباس رياضي ضاغط,False,162.27,37.642857142857146,3.1,الرياضه واللياقه,peer
4,4,ساعه ذكيه سبورت,True,1045.02,33.875,4.6,الالكترونيات,selected
4,10,شاحن لاسلكي سريع,False,96.42,32.625,4.0,الالكترونيات,peer
4,3,سماعات لاسلكيه,False,182.88,45.27272727272727,3.7,الالكترونيات,peer
4,9,راوتر واي فاي 6,False,864.52,20.615384615384617,3.1,الالكترونيات,peer
4,41,حذاء جري احترافي,False,708.68,42.66666666666666,4.8,الرياضه واللياقه,peer
4,48,حقيبه رياضيه جيم,False,377.48,40.69230769230769,4.0,الرياضه واللياقه,peer
5,5,تابلت 10 انش,True,1043.64,1.6875,5.0,الالكترونيات,selected
5,8,مكبر صوت بلوتوث,False,338.12,2.5384615384615383,4.6,الالكترونيات,peer
5,174,تابلت 10 انش - اصدار خاص,False,886.97,2.4545454545454546,4.6,الالكترونيات,peer
5,126,شاحن لاسلكي سريع - اصدار خاص,False,224.49,0.7,4.3,الالكترونيات,peer
5,141,ساعه ذكيه سبورت - اصدار خاص,False,449.82,0.8181818181818182,3.4,الالكترونيات,peer
5,97,هاتف ذكي برو ماكس - اصدار خاص,False,1968.21,1.9166666666666667,4.1,الالكترونيات,peer
6,6,شاشه 4K 27 انش,True,2618.75,12.25,3.1,الالكترونيات,selected
6,97,هاتف ذكي برو ماكس - اصدار خاص,False,1968.21,1.9166666666666667,4.1,الالكترونيات,peer
6,67,لابتوب الترا سليم - اصدار خاص,False,3651.66,1.380952380952381,4.6,الالكترونيات,peer
6,68,تابلت 10 انش - اصدار خاص,False,1081.84,1.8125,2.6,الالكترونيات,peer
6,177,لابتوب الترا سليم - اصدار خاص,False,3544.65,2.7777777777777777,2.7,الالكترونيات,peer
6,124,كاميرا ميرورليس - اصدار خاص,False,4869.43,0.5434782608695652,2.8,الالكترونيات,peer
7,7,كاميرا ميرورليس,True,2063.12,1.5714285714285714,3.5,الالكترونيات,selected
7,177,لابتوب الترا سليم - اصدار خاص,False,3544.65,2.7777777777777777,2.7,الالكترونيات,peer
7,102,تابلت 10 انش - اصدار خاص,False,1982.66,1.2105263157894737,3.5,الالكترونيات,peer
7,107,كاميرا ميرورليس - اصدار خاص,False,5057.62,2.8,3.2,الالكترونيات,peer
7,194,ساعه ذكيه سبورت - اصدار خاص,False,582.97,1.9,4.0,الالكترونيات,peer
7,69,لابتوب الترا سليم - اصدار خاص,False,5185.33,1.6875,2.5,الالكترونيات,peer
8,8,مكبر صوت بلوتوث,True,338.12,2.5384615384615383,4.6,الالكترونيات,selected
8,5,تابلت 10 انش,False,1043.64,1.6875,5.0,الالكترونيات,peer
8,141,ساعه ذكيه سبورت - اصدار خاص,False,449.82,0.8181818181818182,3.4,الالكترونيات,peer
8,126,شاحن لاسلكي سريع - اصدار خاص,False,224.49,0.7,4.3,الالكترونيات,peer
8,115,شاحن لاسلكي سريع - اصدار خاص,False,131.51,1.75,3.6,الالكترونيات,peer
8,174,تابلت 10 انش - اصدار خاص,False,886.97,2.4545454545454546,4.6,الالكترونيات,peer
9,9,راوتر واي فاي 6,True,864.52,20.615384615384617,3.1,الالكترونيات,selected
9,10,شاحن لاسلكي سريع,False,96.42,32.625,4.0,الالكترونيات,peer
9,3,سماعات لاسلكيه,False,182.88,45.27272727272727,3.7,الالكترونيات,peer
9,4,ساعه ذكيه سبورت,False,1045.02,33.875,4.6,الالكترونيات,peer
9,42,لباس رياضي ضاغط,False,162.27,37.642857142857146,3.1,الرياضه واللياقه,peer
9,50,عداد خطوات ذكي,False,103.84,37.5,3.2,الرياضه واللياقه,peer
10,10,شاحن لاسلكي سريع,True,96.42,32.625,4.0,الالكترونيات,selected
10,3,سماعات لاسلكيه,False,182.88,45.27272727272727,3.7,الالكترونيات,peer
10,4,ساعه ذكيه سبورت,False,1045.02,33.875,4.6,الالكترونيات,peer
10,9,راوتر واي فاي 6,False,864.52,20.615384615384617,3.1,الالكترونيات,peer
10,41,حذاء جري احترافي,False,708.68,42.66666666666666,4.8,الرياضه واللياقه,peer
10,48,حقيبه رياضيه جيم,False,377.48,40.69230769230769,4.0,الرياضه واللياقه,peer
11,11,قميص قطني كلاسيكي,True,73.96,4.142857142857143,3.2,الازياء والملابس,selected
11,125,شال كشمير ناعم - اصدار خاص,False,208.91,1.2777777777777777,3.0,الازياء والملابس,peer
11,155,حذاء رياضي مريح - اصدار خاص,False,298.62,2.4285714285714284,2.7,الازياء والملابس,peer
11,93,شال كشمير ناعم - اصدار خاص,False,304.48,3.1,3.8,الازياء والملابس,peer
11,180,شال كشمير ناعم - اصدار خاص,False,279.71,0.6739130434782609,3.3,الازياء والملابس,peer
11,83,فستان سهره انيق - اصدار خاص,False,584.83,2.6,3.4,الازياء والملابس,peer
12,12,فستان سهره انيق,True,378.07,2.5,4.2,الازياء والملابس,selected
12,121,حذاء رياضي مريح - اصدار خاص,False,279.43,4.0,4.3,الازياء والملابس,peer
12,164,حقيبه يد جلديه - اصدار خاص,False,297.97,0.6923076923076923,3.9,الازياء والملابس,peer
12,198,حقيبه يد جلديه - اصدار خاص,False,440.15,3.25,4.5,الازياء والملابس,peer
12,66,قميص قطني كلاسيكي - اصدار خاص,False,234.31,3.333333333333333,3.7,الازياء والملابس,peer
12,14,عباءه مطرزه فاخره,False,687.06,2.583333333333333,4.8,الازياء والملابس,peer
13,13,بنطلون جينز سليم فيت,True,342.07,0.85,3.2,الازياء والملابس,selected
13,20,حذاء رسمي جلد,False,600.91,2.909090909090909,3.4,الازياء والملابس,peer
13,18,جاكيت شتوي دافي,False,685.51,0.7446808510638298,3.8,الازياء والملابس,peer
13,190,حذاء رسمي جلد - اصدار خاص,False,615.39,4.25,3.9,الازياء والملابس,peer
13,164,حقيبه يد جلديه - اصدار خاص,False,297.97,0.6923076923076923,3.9,الازياء والملابس,peer
13,66,قميص قطني كلاسيكي - اصدار خاص,False,234.31,3.333333333333333,3.7,الازياء والملابس,peer
14,14,عباءه مطرزه فاخره,True,687.06,2.583333333333333,4.8,الازياء والملابس,selected
14,12,فستان سهره انيق,False,378.07,2.5,4.2,الازياء والملابس,peer
14,121,حذاء رياضي مريح - اصدار خاص,False,279.43,4.0,4.3,الازياء والملابس,peer
14,164,حقيبه يد جلديه - اصدار خاص,False,297.97,0.6923076923076923,3.9,الازياء والملابس,peer
14,19,تيشيرت بولو قطن,False,195.42,2.1875,4.2,الازياء والملابس,peer
14,198,حقيبه يد جلديه - اصدار خاص,False,440.15,3.25,4.5,الازياء والملابس,peer
15,15,حذاء رياضي مريح,True,478.33,5.2,3.6,الازياء والملابس,selected
15,18,جاكيت شتوي دافي,False,685.51,0.7446808510638298,3.8,الازياء والملابس,peer
15,16,حقيبه يد جلديه,False,680.77,2.9,3.9,الازياء والملابس,peer
15,73,فستان سهره انيق - اصدار خاص,False,249.37,1.85,3.4,الازياء والملابس,peer
15,66,قميص قطني كلاسيكي - اصدار خاص,False,234.31,3.333333333333333,3.7,الازياء والملابس,peer
15,12,فستان سهره انيق,False,378.07,2.5,4.2,الازياء والملابس,peer
16,16,حقيبه يد جلديه,True,680.77,2.9,3.9,الازياء والملابس,selected
16,15,حذاء رياضي مريح,False,478.33,5.2,3.6,الازياء والملابس,peer
16,18,جاكيت شتوي دافي,False,685.51,0.7446808510638298,3.8,الازياء والملابس,peer
16,73,فستان سهره انيق - اصدار خاص,False,249.37,1.85,3.4,الازياء والملابس,peer
16,17,شال كشمير ناعم,False,281.04,1.7142857142857142,3.7,الازياء والملابس,peer
16,83,فستان سهره انيق - اصدار خاص,False,584.83,2.6,3.4,الازياء والملابس,peer
17,17,شال كشمير ناعم,True,281.04,1.7142857142857142,3.7,الازياء والملابس,selected
17,73,فستان سهره انيق - اصدار خاص,False,249.37,1.85,3.4,الازياء والملابس,peer
17,83,فستان سهره انيق - اصدار خاص,False,584.83,2.6,3.4,الازياء والملابس,peer
17,169,فستان سهره انيق - اصدار خاص,False,452.68,1.173913043478261,3.1,الازياء والملابس,peer
17,16,حقيبه يد جلديه,False,680.77,2.9,3.9,الازياء والملابس,peer
