product_id,peer_rank,peer_product_id,peer_name,peer_similarity_score
1,1,2,لابتوب الترا سليم,0.9277572046005328
1,2,4,ساعه ذكيه سبورت,0.7112940501266155
1,3,9,راوتر واي فاي 6,0.6479830075716088
1,4,3,سماعات لاسلكيه,0.6376484190737903
1,5,10,شاحن لاسلكي سريع,0.5775635664476053
2,1,1,هاتف ذكي برو ماكس,0.9277572046005328
2,2,4,ساعه ذكيه سبورت,0.6515329552386163
2,3,9,راوتر واي فاي 6,0.5062505893344413
2,4,10,شاحن لاسلكي سريع,0.46396706104721774
2,5,3,سماعات لاسلكيه,0.4606561094825623
3,1,10,شاحن لاسلكي سريع,0.9571621440890034
3,2,4,ساعه ذكيه سبورت,0.9210085986846471
3,3,9,راوتر واي فاي 6,0.8713377445269744
3,4,41,حذاء جري احترافي,0.8121973785246365
3,5,42,لباس رياضي ضاغط,0.788345763049054
4,1,10,شاحن لاسلكي سريع,0.9486941991438075
4,2,3,سماعات لاسلكيه,0.9210085986846471
4,3,9,راوتر واي فاي 6,0.8360904976392904
4,4,41,حذاء جري احترافي,0.771651532436565
4,5,48,حقيبه رياضيه جيم,0.744418058937457
5,1,8,مكبر صوت بلوتوث,0.9033046777908831
5,2,174,تابلت 10 انش - اصدار خاص,0.8637669972821882
5,3,126,شاحن لاسلكي سريع - اصدار خاص,0.8102913781739678
5,4,141,ساعه ذكيه سبورت - اصدار خاص,0.8092230517065293
5,5,97,هاتف ذكي برو ماكس - اصدار خاص,0.7892714121681212
6,1,97,هاتف ذكي برو ماكس - اصدار خاص,0.8481262974931039
6,2,67,لابتوب الترا سليم - اصدار خاص,0.815056350771942
6,3,68,تابلت 10 انش - اصدار خاص,0.7771350167821947
6,4,177,لابتوب الترا سليم - اصدار خاص,0.7371813049491649
6,5,124,كاميرا ميرورليس - اصدار خاص,0.6942487109466275
7,1,177,لابتوب الترا سليم - اصدار خاص,0.854697716387129
7,2,102,تابلت 10 انش - اصدار خاص,0.8215837961779151
7,3,107,كاميرا ميرورليس - اصدار خاص,0.8203616144226069
7,4,194,ساعه ذكيه سبورت - اصدار خاص,0.7951159397532273
7,5,69,لابتوب الترا سليم - اصدار خاص,0.7830451100700334
8,1,5,تابلت 10 انش,0.9033046777908831
8,2,141,ساعه ذكيه سبورت - اصدار خاص,0.8307969886607491
8,3,126,شاحن لاسلكي سريع - اصدار خاص,0.8161043052641933
8,4,115,شاحن لاسلكي سريع - اصدار خاص,0.7515459647269985
8,5,174,تابلت 10 انش - اصدار خاص,0.7283709031650619
9,1,10,شاحن لاسلكي سريع,0.8891496051005796
9,2,3,سماعات لاسلكيه,0.8713377445269744
9,3,4,ساعه ذكيه سبورت,0.8360904976392904
9,4,42,لباس رياضي ضاغط,0.6939722460375192
9,5,50,عداد خطوات ذكي,0.6807419697336683
10,1,3,سماعات لاسلكيه,0.9571621440890034
10,2,4,ساعه ذكيه سبورت,0.9486941991438075
10,3,9,راوتر واي فاي 6,0.8891496051005796
10,4,41,حذاء جري احترافي,0.7445542377350699
10,5,48,حقيبه رياضيه جيم,0.7318110198116468
11,1,125,شال كشمير ناعم - اصدار خاص,0.9395645511716019
11,2,155,حذاء رياضي مريح - اصدار خاص,0.9228372400826648
11,3,93,شال كشمير ناعم - اصدار خاص,0.9188412088405785
11,4,180,شال كشمير ناعم - اصدار خاص,0.9081505814968887
11,5,83,فستان سهره انيق - اصدار خاص,0.8974526635566301
12,1,121,حذاء رياضي مريح - اصدار خاص,0.9292431806536192
12,2,164,حقيبه يد جلديه - اصدار خاص,0.928468000703388
12,3,198,حقيبه يد جلديه - اصدار خاص,0.920398437174177
12,4,66,قميص قطني كلاسيكي - اصدار خاص,0.9181625278579617
12,5,14,عباءه مطرزه فاخره,0.916803683266523
13,1,20,حذاء رسمي جلد,0.9219905578618813
13,2,18,جاكيت شتوي دافي,0.8971722497218451
13,3,190,حذاء رسمي جلد - اصدار خاص,0.8840769778040951
13,4,164,حقيبه يد جلديه - اصدار خاص,0.8708467065711756
13,5,66,قميص قطني كلاسيكي - اصدار خاص,0.8657730996152603
14,1,12,فستان سهره انيق,0.916803683266523
14,2,121,حذاء رياضي مريح - اصدار خاص,0.8684485570094449
14,3,164,حقيبه يد جلديه - اصدار خاص,0.854127291109648
14,4,19,تيشيرت بولو قطن,0.8489785549021222
14,5,198,حقيبه يد جلديه - اصدار خاص,0.844074372615649
15,1,18,جاكيت شتوي دافي,0.9621226938686585
15,2,16,حقيبه يد جلديه,0.9514682543306061
15,3,73,فستان سهره انيق - اصدار خاص,0.9368340433859811
15,4,66,قميص قطني كلاسيكي - اصدار خاص,0.9086190911456009
15,5,12,فستان سهره انيق,0.9069083494170048
16,1,15,حذاء رياضي مريح,0.9514682543306061
16,2,18,جاكيت شتوي دافي,0.942626898540498
16,3,73,فستان سهره انيق - اصدار خاص,0.9322171328949738
16,4,17,شال كشمير ناعم,0.9193781558672807
16,5,83,فستان سهره انيق - اصدار خاص,0.9038346430341084
17,1,73,فستان سهره انيق - اصدار خاص,0.9538677437804897
17,2,83,فستان سهره انيق - اصدار خاص,0.9528734655089963
17,3,169,فستان سهره انيق - اصدار خاص,0.924963141854547
17,4,16,حقيبه يد جلديه,0.9193781558672807
17,5,15,حذاء رياضي مريح,0.8982528279236481
18,1,15,حذاء رياضي مريح,0.9621226938686585
18,2,16,حقيبه يد جلديه,0.942626898540498
18,3,66,قميص قطني كلاسيكي - اصدار خاص,0.9181000140082621
18,4,73,فستان سهره انيق - اصدار خاص,0.9072766675488728
18,5,12,فستان سهره انيق,0.9027618957438845
19,1,129,تيشيرت بولو قطن - اصدار خاص,0.9495886522996895
19,2,166,فستان سهره انيق - اصدار خاص,0.9397532889760678
19,3,121,حذاء رياضي مريح - اصدار خاص,0.9378420591891418
19,4,100,حقيبه يد جلديه - اصدار خاص,0.9133999956649513
19,5,12,فستان سهره انيق,0.9077649974624173
20,1,190,حذاء رسمي جلد - اصدار خاص,0.9544747427340432
20,2,13,بنطلون جينز سليم فيت,0.9219905578618813
20,3,121,حذاء رياضي مريح - اصدار خاص,0.9084363205404754
20,4,63,حذاء رياضي مريح - اصدار خاص,0.8898877698267393
20,5,127,قميص قطني كلاسيكي - اصدار خاص,0.886728816577778
21,1,23,ثلاجه نوفروست 350 لتر,0.9203988848097852
21,2,154,ثلاجه نوفروست 350 لتر - اصدار خاص,0.8505922633022127
21,3,178,مكيف هواء انفيرتر 18000 - اصدار خاص,0.783057516681761
21,4,134,ثلاجه نوفروست 350 لتر - اصدار خاص,0.769615394200488
21,5,130,ثلاجه نوفروست 350 لتر - اصدار خاص,0.7696058956408085
22,1,27,فرن كهربايي 60 لتر,0.8717170265327483
22,2,162,ثلاجه نوفروست 350 لتر - اصدار خاص,0.8624467329849823
22,3,91,فرن كهربايي 60 لتر - اصدار خاص,0.8443016719194705
22,4,119,ماكينه قهوه اسبريسو - اصدار خاص,0.8427147785117884
22,5,30,مكواه بخاريه احترافيه,0.825777638419056
23,1,21,مكيف هواء انفيرتر 18000,0.9203988848097852
23,2,154,ثلاجه نوفروست 350 لتر - اصدار خاص,0.9129307860060776
23,3,178,مكيف هواء انفيرتر 18000 - اصدار خاص,0.8339035756089466
23,4,130,ثلاجه نوفروست 350 لتر - اصدار خاص,0.8157932343416019
23,5,22,غساله اوتوماتيك 8 كيلو,0.7702904113256315
24,1,168,مجموعه سكاكين مطبخ - اصدار خاص,0.9059710611373358
