order_item_id,user_id,order_id,product_id,quantity,item_price
1,333,1,32,1,182.43
2,333,1,34,2,269.1
3,333,1,37,1,113.29
4,333,1,39,1,51.31
5,333,1,31,1,118.65
6,172,2,8,1,338.12
7,172,2,42,1,162.27
8,172,2,46,1,121.09
9,172,2,48,1,377.48
10,172,2,50,1,103.84
11,119,3,17,1,281.04
12,119,3,135,1,248.61
13,233,4,20,1,600.91
14,233,4,189,1,46.18
15,56,5,9,1,864.52
16,56,5,2,1,6856.93
17,56,5,3,1,182.88
18,56,5,6,1,2618.75
19,26,6,138,2,2075.88
20,26,6,141,1,449.82
21,112,7,32,1,182.43
22,112,7,18,1,685.51
23,112,7,37,1,113.29
24,112,7,31,2,118.65
25,412,8,80,1,996.58
26,412,8,44,1,1768.56
27,408,9,162,2,2324.66
28,408,9,62,2,122.09
29,120,10,115,1,131.51
30,444,11,51,1,66.67
31,444,11,53,1,95.99
32,444,11,54,1,131.19
33,444,11,56,1,327.69
34,444,11,63,2,557.39
35,215,12,32,1,182.43
36,215,12,37,1,113.29
37,215,12,31,1,118.65
38,96,13,48,1,377.48
39,96,13,41,1,708.68
40,96,13,162,1,2324.66
41,96,13,47,1,691.19
42,325,14,99,1,185.24
43,325,14,12,1,378.07
44,308,15,148,1,658.67
45,101,16,33,1,404.5
46,101,16,47,1,691.19
47,197,17,128,1,664.23
48,197,17,19,1,195.42
49,457,18,65,1,586.82
50,457,18,1,1,5429.43
51,457,18,3,1,182.88
52,457,18,4,1,1045.02
53,434,19,132,1,284.92
54,384,20,48,1,377.48
55,384,20,57,1,215.42
56,384,20,42,1,162.27
57,384,20,47,1,691.19
58,319,21,34,1,269.1
59,319,21,35,1,790.82
60,319,21,38,1,325.54
61,319,21,170,1,810.36
62,319,21,79,1,421.1
63,231,22,8,1,338.12
64,479,23,51,1,66.67
65,479,23,53,2,95.99
66,479,23,54,1,131.19
67,426,24,99,1,185.24
68,322,25,79,1,421.1
69,40,26,56,1,327.69
70,40,26,51,1,66.67
71,40,26,53,1,95.99
72,40,26,54,2,131.19
73,110,27,51,1,66.67
74,110,27,54,1,131.19
75,337,28,32,1,182.43
76,337,28,39,1,51.31
77,337,28,37,1,113.29
78,337,28,31,1,118.65
79,246,29,48,2,377.48
80,246,29,41,1,708.68
81,246,29,88,1,398.34
82,246,29,47,1,691.19
83,113,30,25,2,958.76
84,113,30,26,1,547.5
85,113,30,28,1,207.71
86,113,30,29,1,137.26
87,286,31,165,1,867.11
88,272,32,168,1,126.51
89,37,33,84,2,98.36
90,37,33,25,1,958.76
91,37,33,26,1,547.5
92,37,33,28,1,207.71
93,37,33,29,1,137.26
94,37,33,31,1,118.65
95,222,34,104,1,146.34
96,232,35,33,1,404.5
97,232,35,34,1,269.1
98,232,35,35,1,790.82
99,232,35,8,1,338.12
100,232,35,107,1,5057.62
101,338,36,33,1,404.5
102,338,36,34,1,269.1
103,338,36,35,1,790.82
104,225,37,41,1,708.68
105,225,37,42,1,162.27
106,225,37,157,1,278.2
107,225,37,47,1,691.19
108,340,38,48,2,377.48
109,340,38,41,1,708.68
110,340,38,26,1,547.5
111,340,38,47,1,691.19
112,441,39,8,1,338.12
113,441,39,113,1,61.24
114,445,40,161,1,280.14
115,221,41,2,1,6856.93
116,221,41,3,2,182.88
117,221,41,6,1,2618.75
118,221,41,9,1,864.52
119,221,41,147,1,4075.22
120,391,42,167,1,104.4
121,391,42,12,1,378.07
122,391,42,25,1,958.76
123,391,42,26,1,547.5
124,391,42,28,1,207.71
125,391,42,29,1,137.26
126,308,43,25,1,958.76
127,308,43,26,1,547.5
128,308,43,29,1,137.26
129,449,44,32,1,182.43
130,449,44,39,1,51.31
131,449,44,37,1,113.29
132,449,44,31,1,118.65
133,127,45,53,1,95.99
134,16,46,193,1,256.05
135,167,47,161,1,280.14
136,167,47,85,1,1742.75
137,178,48,32,1,182.43
138,178,48,39,1,51.31
139,178,48,37,2,113.29
140,178,48,31,1,118.65
141,86,49,167,1,104.4
142,86,49,41,1,708.68
143,86,49,42,1,162.27
144,86,49,47,2,691.19
145,86,49,48,1,377.48
146,86,49,157,1,278.2
147,462,50,2,2,6856.93
148,462,50,6,1,2618.75
149,462,50,9,1,864.52
150,462,50,76,1,110.25
151,462,50,173,1,426.85
152,329,51,96,1,2249.21
153,393,52,2,1,6856.93
154,393,52,3,1,182.88
155,393,52,6,1,2618.75
156,393,52,9,1,864.52
157,393,52,76,1,110.25
158,122,53,1,1,5429.43
159,122,53,10,1,96.42
160,122,53,3,1,182.88
161,122,53,4,1,1045.02
162,110,54,74,1,132.13
163,110,54,111,1,453.66
164,15,55,33,1,404.5
165,15,55,34,1,269.1
166,15,55,35,1,790.82
167,15,55,169,1,452.68
168,15,55,63,1,557.39
169,355,56,2,1,6856.93
170,355,56,3,1,182.88
171,28,57,37,1,113.29
172,28,57,42,1,162.27
173,28,57,47,1,691.19
174,28,57,48,1,377.48
175,28,57,26,1,547.5
176,306,58,70,1,1076.29
177,306,58,2,1,6856.93
178,306,58,3,1,182.88
179,306,58,6,1,2618.75
180,443,59,32,1,182.43
181,443,59,37,2,113.29
182,443,59,39,1,51.31
183,443,59,155,1,298.62
184,443,59,31,2,118.65
185,271,60,63,1,557.39
186,111,61,41,1,708.68
187,111,61,42,1,162.27
188,111,61,76,1,110.25
189,111,61,47,1,691.19
190,111,61,48,1,377.48
191,111,61,63,1,557.39
192,208,62,98,1,449.02
193,208,62,101,1,241.26
194,208,62,42,1,162.27
195,208,62,46,1,121.09
196,208,62,48,1,377.48
197,136,63,12,1,378.07
198,136,63,125,1,208.91
199,147,64,152,1,92.66
200,147,64,139,1,351.69
201,427,65,87,1,281.44
202,452,66,200,1,284.58
203,452,66,25,1,958.76
204,452,66,28,1,207.71
205,452,66,29,1,137.26
206,181,67,9,1,864.52
207,181,67,2,2,6856.93
208,181,67,161,1,280.14
209,181,67,60,2,325.99
210,263,68,9,1,864.52
211,263,68,2,1,6856.93
212,263,68,3,1,182.88
213,263,68,6,1,2618.75
214,207,69,139,1,351.69
215,301,70,41,1,708.68
216,301,70,95,1,217.5
217,481,71,144,1,91.59
218,481,71,11,1,73.96
219,341,72,25,1,958.76
220,341,72,28,1,207.71
221,450,73,56,2,327.69
222,450,73,161,1,280.14
223,450,73,51,1,66.67
224,450,73,53,1,95.99
225,181,74,52,1,108.37
226,373,75,56,1,327.69
227,373,75,187,1,521.01
228,322,76,16,1,680.77
229,322,76,51,1,66.67
230,322,76,53,1,95.99
231,322,76,54,1,131.19
232,322,76,56,2,327.69
233,355,77,40,1,36.51
234,355,77,10,1,96.42
235,355,77,51,1,66.67
236,355,77,53,1,95.99
237,355,77,56,1,327.69
238,77,78,161,1,280.14
239,77,78,170,1,810.36
240,77,78,51,1,66.67
241,77,78,53,2,95.99
242,77,78,56,1,327.69
243,21,79,50,1,103.84
244,36,80,149,1,652.63
245,36,80,181,1,353.61
246,235,81,2,1,6856.93
247,235,81,3,1,182.88
248,235,81,6,1,2618.75
249,278,82,48,1,377.48
250,278,82,42,1,162.27
251,278,82,45,1,207.67
252,278,82,46,1,121.09
253,385,83,34,2,269.1
254,385,83,115,1,131.51
255,385,83,25,1,958.76
256,385,83,28,1,207.71
257,385,83,29,1,137.26
258,372,84,42,1,162.27
259,372,84,155,1,298.62
260,372,84,46,1,121.09
261,486,85,123,1,140.92
262,117,86,128,1,664.23
263,117,86,80,1,996.58
264,68,87,34,1,269.1
265,316,88,197,1,1440.46
266,20,89,148,1,658.67
267,202,90,133,1,165.39
268,202,90,182,1,190.33
269,494,91,1,1,5429.43
270,494,91,10,1,96.42
271,494,91,153,1,564.14
272,494,91,4,2,1045.02
273,463,92,1,1,5429.43
274,463,92,10,1,96.42
275,463,92,3,1,182.88
276,463,92,4,1,1045.02
277,153,93,33,1,404.5
278,153,93,34,1,269.1
279,153,93,35,1,790.82
280,153,93,133,1,165.39
281,153,93,38,1,325.54
282,153,93,62,1,122.09
283,322,94,42,1,162.27
284,322,94,46,1,121.09
285,322,94,50,1,103.84
286,322,94,19,1,195.42
287,322,94,155,1,298.62
288,151,95,9,1,864.52
289,151,95,2,1,6856.93
290,151,95,115,1,131.51
291,338,96,11,1,73.96
292,338,96,190,1,615.39
293,365,97,104,1,146.34
294,365,97,47,1,691.19
295,354,98,33,1,404.5
296,354,98,34,1,269.1
297,354,98,35,1,790.82
298,354,98,166,1,184.75
299,354,98,38,2,325.54
300,354,98,28,1,207.71
301,18,99,185,1,329.38
302,446,100,32,1,182.43
303,446,100,85,1,1742.75
304,446,100,37,1,113.29
305,446,100,39,1,51.31
306,494,101,33,1,404.5
307,494,101,34,1,269.1
308,494,101,35,1,790.82
309,494,101,166,2,184.75
310,494,101,38,1,325.54
311,14,102,51,1,66.67
312,14,102,53,1,95.99
313,14,102,38,1,325.54
314,55,103,1,1,5429.43
315,356,104,1,1,5429.43
316,356,104,10,2,96.42
317,356,104,4,1,1045.02
318,356,104,138,1,2075.88
319,450,105,33,1,404.5
320,450,105,34,1,269.1
321,450,105,35,1,790.82
322,450,105,38,1,325.54
323,489,106,32,1,182.43
324,489,106,37,1,113.29
325,489,106,39,1,51.31
326,489,106,184,1,617.48
327,489,106,31,1,118.65
328,200,107,48,2,377.48
329,200,107,41,1,708.68
330,200,107,47,1,691.19
331,441,108,56,2,327.69
332,441,108,51,2,66.67
333,441,108,53,1,95.99
334,441,108,54,1,131.19
335,205,109,200,1,284.58
336,205,109,46,1,121.09
337,205,109,31,1,118.65
338,49,110,197,1,1440.46
339,433,111,73,1,249.37
340,433,111,148,1,658.67
341,433,111,25,1,958.76
342,433,111,28,1,207.71
343,433,111,29,1,137.26
344,165,112,9,1,864.52
345,165,112,2,1,6856.93
346,286,113,1,1,5429.43
347,286,113,194,1,582.97
348,286,113,3,1,182.88
349,286,113,4,1,1045.02
350,286,113,10,2,96.42
351,286,113,159,1,132.33
352,208,114,2,1,6856.93
353,208,114,3,1,182.88
354,208,114,6,1,2618.75
355,208,114,9,1,864.52
356,208,114,76,1,110.25
357,79,115,66,1,234.31
358,79,115,188,1,2599.64
359,396,116,1,1,5429.43
360,396,116,194,1,582.97
361,396,116,3,1,182.88
362,396,116,4,1,1045.02
363,158,117,32,1,182.43
364,158,117,37,1,113.29
365,158,117,39,1,51.31
366,158,117,15,1,478.33
367,158,117,31,1,118.65
